Om,H0,alpha,beta,chi2
0.334,73.04,0.08339458398154079,3.443604106111573,1724.6424212748577
0.334,73.04,0.0545424146267721,2.3148017537160936,2051.8715686567025
0.334,73.04,0.06800957215512836,4.046653809106645,2037.6953210329234
0.334,73.04,0.19447187011929007,4.348937469005611,1951.334661126563
0.334,73.04,0.14237544605027747,2.4324670201237066,1516.0052083620617
0.334,73.04,0.08225435580672036,3.15678042148706,1699.747258932373
0.334,73.04,0.15020895502067272,2.2551074961865853,1565.6359362961568
0.334,73.04,0.0804624205426337,2.8478500176824375,1713.230972735044
0.334,73.04,0.1892640750155472,2.1627443869013163,1731.1793853477034
0.334,73.04,0.13923125511480616,2.6613663200435678,1475.4595604428976
0.334,73.04,0.12620424521929652,4.4755591677232545,1885.4123838931514
0.334,73.04,0.11030241782957531,2.1115081683035046,1676.5609578800145
0.334,73.04,0.1760565186237777,4.147420824046677,1760.3193027970808
0.334,73.04,0.12236252211067809,2.1936314443852623,1608.0791992765194
0.334,73.04,0.0675299838632202,3.3224923277934004,1847.492619716313
0.334,73.04,0.07360118042410307,3.130299481068364,1772.155561192404
0.334,73.04,0.24237953290990294,4.328886650051612,2396.734971469099
0.334,73.04,0.23171613814152142,2.497624655712724,2010.9160303957099
0.334,73.04,0.18994142676214992,2.449205038449088,1654.6481930790867
0.334,73.04,0.10317399229190392,3.8717852214195805,1702.8624481136856
0.334,73.04,0.2438352754695448,3.8142986827508847,2212.283054979008
0.334,73.04,0.20575018079315893,3.747954426231997,1796.9057660295462
0.334,73.04,0.19337803783179913,2.0653177904309516,1791.7964251433082
0.334,73.04,0.13987230042875776,2.6498992168122717,1476.7430511968278
0.334,73.04,0.1044483123690318,4.0997379446357485,1782.8983039030609
0.334,73.04,0.06927819243069987,3.5021453036419317,1859.74602028998
0.334,73.04,0.23052047930876834,3.505487301830454,1979.1858719086567
0.334,73.04,0.14115525796672224,2.739791513512029,1465.1190507880297
0.334,73.04,0.09047267295904607,2.6504327213923697,1656.842470244856
0.334,73.04,0.1111913248301305,4.366387220045636,1877.2916767641561
0.334,73.04,0.1658439137883792,3.819388197133031,1604.074058523788
0.334,73.04,0.08535455658784635,2.3171652945045937,1759.604700050309
0.334,73.04,0.22132285681847513,4.34426735535941,2167.5514341004923
0.334,73.04,0.20170390596704202,3.4559253795451372,1702.0091829300804
0.334,73.04,0.19389259119018737,2.83340591739272,1621.1712742244486
0.334,73.04,0.13641860795502075,2.992848615998996,1453.493555995408
0.334,73.04,0.17546176814048864,3.8135112758815453,1634.8285112973736
0.334,73.04,0.16681959378254713,2.940681629215209,1486.0233825135228
0.334,73.04,0.17996932031096402,3.4468619977965176,1568.9787634795887
0.334,73.04,0.06688886422797782,3.776248741621012,1952.3541497693518
0.334,73.04,0.13316148043412193,2.4884374932649114,1510.3642737702605
0.334,73.04,0.0583228347723785,4.3606037156063735,2288.273939246508
0.334,73.04,0.1487981638489038,2.8904319285885247,1454.8372310671593
0.334,73.04,0.11597224246655707,3.048436892692286,1500.123465188728
0.334,73.04,0.07890483777320939,3.7462859196695515,1831.84574415238
0.334,73.04,0.07068059354451034,3.52196272346941,1850.2484327663074
0.334,73.04,0.1675289144355424,3.100299592347948,1487.904261510686
0.334,73.04,0.08411859370737723,3.6243551007519788,1756.6855466269142
0.334,73.04,0.23502402367535946,4.257070768930111,2272.887497128598
0.334,73.04,0.166212227940079,4.000709041613547,1667.244354888439
0.334,73.04,0.11937396090696742,4.060647524886934,1702.8901493349806
0.334,73.04,0.16818309829628336,2.6460210214182824,1516.7127178354995
0.334,73.04,0.0545607742059395,3.048508373244094,1965.7121520948583
0.334,73.04,0.2417118426482891,3.384547854135148,2094.161635933054
0.334,73.04,0.14646068738858004,2.110477047903707,1609.7120556877
0.334,73.04,0.20654704545005725,3.924480450943311,1857.7381493734185
0.334,73.04,0.06654599998448772,2.8086585610377224,1842.0076631535119
0.334,73.04,0.14733166616763207,2.7064901951025355,1469.5992654576849
0.334,73.04,0.1481413988709042,2.648230023390366,1477.7441655703726
0.334,73.04,0.23756529099499657,2.708448163550161,2043.817132497115
0.334,73.04,0.16434561047521506,2.8450370803945804,1483.8281250391974
0.334,73.04,0.14469788021139077,3.512061395190398,1497.505121530372
0.334,73.04,0.10339513261837872,3.458913304750158,1595.6492467339579
0.334,73.04,0.11631379946851045,2.6392793840046886,1524.678883037057
0.334,73.04,0.15413448049430756,2.516060691433019,1506.2572636970776
0.334,73.04,0.13778229206100934,4.065895475178392,1666.2495311512025
0.334,73.04,0.05432241597606609,2.2318083441909162,2077.2348753257324
0.334,73.04,0.21525838483887155,3.2820571030023187,1793.0840335712962
0.334,73.04,0.22923215436795336,3.30140218547319,1936.7503953884295
0.334,73.04,0.07804981779972216,3.435342017029054,1767.180317909824
0.334,73.04,0.1608072287078099,4.214125289767839,1743.7090113110091
0.334,73.04,0.07171514822708872,3.559784850236919,1848.507137100332
0.334,73.04,0.18444801860796234,4.434084415620058,1938.5416415742313
0.334,73.04,0.10624675676780167,4.178382708371819,1808.2687463194213
0.334,73.04,0.18188452693838036,2.536850648718029,1591.6628964100144
0.334,73.04,0.19539892285737653,2.6029582755632528,1659.4449004137152
0.334,73.04,0.20372949838353144,2.8619353397879266,1689.6361701127223
0.334,73.04,0.07154818919117932,2.978786037700328,1787.3619400287266
0.334,73.04,0.23320236902752162,3.3824878007692387,1990.8563996827836
0.334,73.04,0.09604279817897617,2.5812815822408472,1630.9594863813454
0.334,73.04,0.057482511235235956,2.5558629527844143,1967.4062413346373
0.334,73.04,0.16097049387829668,2.953474893420199,1470.2610037761483
0.334,73.04,0.12418445677248775,3.68005778303188,1561.6846190179674
0.334,73.04,0.21595794862648265,3.720314032740471,1877.3727611821294
0.334,73.04,0.21165029441286037,4.440291850100724,2128.2597624059226
0.334,73.04,0.11342777856454307,2.5060385848045352,1557.6415979346584
0.334,73.04,0.240579879013949,2.9821478796424516,2059.384188807503
0.334,73.04,0.10818356762802372,4.411693744847652,1915.4207225520734
0.334,73.04,0.15301142584634292,3.72502185666388,1551.846550957075
0.334,73.04,0.10119301811352055,3.4806963120550476,1611.5600048706538
0.334,73.04,0.23720871400979265,3.3491151285033673,2034.1238433066655
0.334,73.04,0.08292156351640363,2.1887759503406414,1815.0123203737865
0.334,73.04,0.0589821238784658,4.233434522039776,2216.335207759164
0.334,73.04,0.13701941200060758,3.563763038537769,1511.3421785226944
0.334,73.04,0.2484751128111674,3.4291685198200854,2188.8414590499506
0.334,73.04,0.2283354532509828,3.3487508583046064,1931.9851817946683
0.334,73.04,0.19972160389138988,2.979785518302779,1654.0968985916643
0.334,73.04,0.228158498175705,2.636661728402232,1945.0357958587297
0.334,73.04,0.22868932793957264,3.8883049633362106,2055.1781284225126
0.334,73.04,0.1537716720772898,3.273918794404155,1469.0292387510744
0.334,73.04,0.1131858103661586,2.084848830723051,1674.3430794638148
0.334,73.04,0.2044024864221976,2.997736249430408,1689.2094261721759
0.334,73.04,0.18233225263355224,4.321509095557081,1869.3560414714202
0.334,73.04,0.12473154577474202,2.934736403852157,1474.3664928548878
0.334,73.04,0.06889333361230306,3.0330825198139344,1812.99020948544
0.334,73.04,0.1993579222698052,3.559902807637589,1703.8288106310727
0.334,73.04,0.10249210318457294,4.004187009539706,1754.5489039705622
0.334,73.04,0.23736263010675585,3.6711527942617805,2093.2966834224285
0.334,73.04,0.09819411500113695,4.125136827807366,1829.1496125843425
0.334,73.04,0.0745515864822972,2.284926467601746,1856.4614690930916
0.334,73.04,0.21622253442498124,4.311481383296622,2102.527269115263
0.334,73.04,0.08065686332489881,4.259804831028465,2017.782678050513
0.334,73.04,0.08585366163154781,3.2978714664639694,1684.4951651421286
0.334,73.04,0.1698765583041687,3.5618555944680024,1550.0023409711691
0.334,73.04,0.22491240816749292,2.532032625503504,1928.681007378112
0.334,73.04,0.08928693314291465,3.1198685949534726,1644.761679455454
0.334,73.04,0.11206473458001896,2.506758402299531,1562.8753923322117
0.334,73.04,0.20548096764823554,2.054941697352549,1884.8254135172133
0.334,73.04,0.24436528521219347,4.452257670317631,2485.922327661431
0.334,73.04,0.15014823724046847,2.6478662892755125,1479.319145292351
0.334,73.04,0.07877950051025016,3.482770772244588,1769.5163378669777
0.334,73.04,0.05278725754164031,2.7506259588446573,1996.1179464387733
0.334,73.04,0.09593120599977106,2.926554050526087,1598.8550281721534
0.334,73.04,0.0763644435573042,2.9944038964556867,1743.7967354306927
0.334,73.04,0.1855317347225715,2.8376168283118943,1570.737209067769
0.334,73.04,0.07436650092570624,3.5934993983498393,1831.649924585896
0.334,73.04,0.1512659863241266,4.402340676221515,1823.9456995160351
0.334,73.04,0.18885248712857733,3.0715866250155823,1582.4678755032262
0.334,73.04,0.16622332184418048,4.433316810135663,1866.9486269937638
0.334,73.04,0.08995513033201152,3.669493093361958,1724.6603430553153
0.334,73.04,0.21082490523645253,3.5178404875525224,1786.155652935718
0.334,73.04,0.19308142592316035,2.5927596294973076,1645.8416411382498
0.334,73.04,0.19779680078310835,2.157301764748452,1789.1960540226357
0.334,73.04,0.07621155031146265,4.129836925729572,1995.668204566533
0.334,73.04,0.07475076073006892,3.4349526598606723,1796.0971163918853
0.334,73.04,0.23551251020130154,3.0360346560622045,1996.504973582149
0.334,73.04,0.12951563876498812,4.029918305221209,1663.795060922008
0.334,73.04,0.11018973835618795,2.776450956443297,1532.7856350354507
0.334,73.04,0.14771680907030665,3.959043139911218,1622.441469196249
0.334,73.04,0.1825728425527165,2.8199095885144922,1556.558733785928
0.334,73.04,0.241124651409394,4.302202966010409,2367.952972085281
0.334,73.04,0.107289245376411,2.6699171861420066,1557.389145759099
0.334,73.04,0.23496168586240546,2.343885293936428,2086.304247576024
0.334,73.04,0.05497189827725127,3.7452417708735295,2072.2090552661084
0.334,73.04,0.16103960846536494,2.407118132661927,1542.8511299184381
0.334,73.04,0.17679502233621702,4.373407625722464,1871.1056275609437
0.334,73.04,0.07117948075015067,3.6388877809721647,1872.2161351919297
0.334,73.04,0.07806791941278253,2.577151653211315,1762.5503356974898
0.334,73.04,0.13382286386326075,2.5220473357135718,1502.9330187107116
0.334,73.04,0.24324638242863633,4.309687597801053,2398.3043300256663
0.334,73.04,0.1692085106468746,3.519644782124727,1539.3985578739764
0.334,73.04,0.23660464432004225,4.234340016681042,2280.976842627887
0.334,73.04,0.21087218312259415,2.275563012114563,1855.8629199373495
0.334,73.04,0.1434763203110583,4.31348048894794,1775.596149991371
0.334,73.04,0.20695268985043752,3.300123279985221,1722.538549567528
0.334,73.04,0.05356735679539755,3.6710547908283764,2067.8423533949926
0.334,73.04,0.071828799353147,2.9321886788532017,1785.3750371064855
0.334,73.04,0.2158857229765473,2.1478508050145653,1942.7713302744626
0.334,73.04,0.20936341766503236,4.394931103354573,2084.7146681150803
0.334,73.04,0.09652814839328674,4.4864958227712055,2022.1540138230553
0.334,73.04,0.15615391811981072,2.9113671219011072,1462.3736473588924
0.334,73.04,0.1712031641400022,4.359669824379949,1843.062709518998
0.334,73.04,0.22354779075520226,2.4193157274039105,1939.1935507834194
0.334,73.04,0.17062143146774514,2.386711124146439,1576.150940961948
0.334,73.04,0.13251431385473605,2.1827796000229287,1591.3132163984196
0.334,73.04,0.12483680868143654,2.978173518960377,1473.214440385684
0.334,73.04,0.13517641727470198,2.130755625453998,1605.4765174072068
0.334,73.04,0.18038620511599485,2.9866429740322418,1537.6176386417862
0.334,73.04,0.223498126350465,2.3459760716241704,1957.4898843421502
0.334,73.04,0.14077937641525995,3.826319488932393,1577.7869416899719
0.334,73.04,0.09956791259027163,4.08340662334102,1803.1236449218534
0.334,73.04,0.09733247259951623,3.71953856949072,1689.5624709220574
0.334,73.04,0.19920285604868931,2.50123538109039,1705.1895178422599
0.334,73.04,0.2133137526847821,3.9171204822698895,1912.5016429588509
0.334,73.04,0.07105561597082499,2.6237504925831874,1817.9547519466057
0.334,73.04,0.06331177139103564,3.8987214924213185,2029.493083870179
0.334,73.04,0.16888673275129035,3.418493937240977,1520.9998495303741
0.334,73.04,0.07923464883853966,2.916781290728024,1720.4087340507115
0.334,73.04,0.21493283809126829,2.208730945040144,1913.431549035711
0.334,73.04,0.11206693478481489,4.068773774517565,1733.7976670195023
0.334,73.04,0.07877438659422853,4.349132301995564,2079.07648370655
0.334,73.04,0.23419409449749007,3.664794450001594,2054.224025209684
0.334,73.04,0.08310634454705564,4.411353916733598,2076.3892072223466
0.334,73.04,0.10694401646758711,4.335278547607478,1880.9377863903467
0.334,73.04,0.08072267903841174,2.486521002009384,1756.7820758299065
0.334,73.04,0.073098012733071,3.8280308714955336,1908.6081596909414
0.334,73.04,0.05422960326728801,2.8732620485942366,1971.1273420293799
0.334,73.04,0.061079081832852024,3.218793401414065,1902.783311996222
0.334,73.04,0.08492829418717054,2.3924135778721145,1744.1437785566964
0.334,73.04,0.06067638652543508,4.436948570144131,2303.870907789446
0.334,73.04,0.16822876322219427,3.8153434576910215,1609.7861744400789
0.334,73.04,0.1861429053599013,2.66727077407742,1592.5182582916864
0.334,73.04,0.12872609136640567,2.9286792254200837,1465.8110297329654
0.334,73.04,0.11359821939040989,3.0562073170719612,1509.1741864282899
0.334,73.04,0.15090524740444602,3.868834310359601,1593.097636640189
0.334,73.04,0.22500098844692173,4.314243166923961,2189.8602683664435
0.334,73.04,0.2202263253644412,2.8036003324614294,1840.8612209160826
0.334,73.04,0.058695012402558394,3.181250220701049,1925.6480332002518
0.334,73.04,0.08629968191930482,3.483018932086753,1709.4326090222987
0.334,73.04,0.09734897422087921,2.983359981000789,1589.2367460691635
0.334,73.04,0.09987751516644237,3.2604533084142133,1587.4711659503535
0.334,73.04,0.16424653034855455,2.2642690725502552,1589.06465614676
0.334,73.04,0.13325248514063848,2.419185969300415,1525.2304198346008
0.334,73.04,0.0598508239855188,3.002753143050362,1905.6562571577338
0.334,73.04,0.12472282769191433,4.287347529426381,1789.2723555685868
0.334,73.04,0.15475058974352746,2.8733951143615837,1462.0959705340083
0.334,73.04,0.0703343805807432,2.624482021512534,1824.6392083963667
0.334,73.04,0.21669171075771193,3.8571555521231895,1923.7191824478111
0.334,73.04,0.06039237329302086,4.372825415191523,2271.78026688643
0.334,73.04,0.2349683738036124,3.1478090426588685,1991.8805321666853
0.334,73.04,0.0698226283159751,2.021512388917958,1985.1328121822614
0.334,73.04,0.21871499031955055,3.720373328689045,1903.4486002814992
0.334,73.04,0.23053062878552344,3.0376520040403623,1938.796747241099
